timestamp,close,signal,position,asset_return,strategy_return,turnover,equity
2017-02-09,86.85202454440363,-1.0,0.0,0.0,0.0,0.0,1.0
2017-02-10,87.17769898166927,-1.0,-1.0,0.0037497621842899065,-0.004249762184289907,1.0,0.9957502378157101
2017-02-13,86.59156855305334,-1.0,-1.0,-0.006723398707038308,0.006723398707038308,0.0,1.0024450636771733
2017-02-14,85.86157165461925,-1.0,-1.0,-0.008430346171484637,0.008430346171484637,0.0,1.0108960225818677
2017-02-15,86.25351367018436,1.0,-1.0,0.004564812965941245,-0.004564812965941245,0.0,1.0062814713107675
2017-02-16,85.79474821648108,1.0,1.0,-0.005318803074591316,-0.006318803074591316,2.0,0.9999229768559448
2017-02-17,86.10597965235971,1.0,1.0,0.003627628058227028,0.003627628058227028,0.0,1.0035503255028533
2017-02-20,86.45319819756259,1.0,1.0,0.004032455662251522,0.004032455662251522,0.0,1.0075970976952817
2017-02-21,85.11900190452366,-1.0,1.0,-0.015432584575876818,-0.015432584575876818,0.0,0.9920472702666913
2017-02-22,84.57333433420706,1.0,-1.0,-0.006410643429873186,0.005410643429873186,2.0,0.9974148843116835
2017-02-23,86.29596406246594,1.0,1.0,0.02036847360719629,0.01936847360719629,2.0,1.0167332881738989
2017-02-24,84.93752766402513,-1.0,1.0,-0.015741598268228407,-0.015741598268228407,0.0,1.0007282812055305
2017-02-27,82.5017940742382,1.0,-1.0,-0.028676765815713323,0.027676765815713322,2.0,1.0284252034896173
2017-02-28,80.4193956257041,1.0,1.0,-0.025240644423565994,-0.026240644423565995,2.0,1.0014386634086128
2017-03-01,80.47100292288816,1.0,1.0,0.0006417269961125349,0.0006417269961125349,0.0,1.0020813136338729
2017-03-02,80.52466023468206,1.0,1.0,0.000666790643150339,0.000666790643150339,0.0,1.0027494920774798
2017-03-03,80.41266091223619,1.0,1.0,-0.0013908698542713926,-0.0013908698542713926,0.0,1.0013547980375632
2017-03-06,81.79669361317605,1.0,1.0,0.0172116266921003,0.0172116266921003,0.0,1.0185897430077293
2017-03-07,78.84098013790944,1.0,1.0,-0.036134877153402356,-0.036134877153402356,0.0,0.9817831277744293
